"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"15","Adlikon","Adlikon","Adlikon","ZH",NA,"Adlikon","Adlikon","Adlikon","ZH","ZH","ZH",NA,NA,NA
"16","Benken (ZH)","Benken ZH","Benken ZH","ZH",NA,"Benken (ZH)","Benken ZH","Benken ZH","ZH","ZH","ZH",NA,NA,NA
"17","Berg am Irchel","Berg am Irchel","Berg am Irchel","ZH",NA,"Berg am Irchel","Berg am Irchel","Berg am Irchel","ZH","ZH","ZH",NA,NA,NA
"18","Buch am Irchel","Buch am Irchel","Buch am Irchel","ZH",NA,"Buch am Irchel","Buch am Irchel","Buch am Irchel","ZH","ZH","ZH",NA,NA,NA
"19","Dachsen","Dachsen","Dachsen","ZH",NA,"Dachsen","Dachsen","Dachsen","ZH","ZH","ZH",NA,NA,NA
"20","Dorf","Dorf","Dorf","ZH",NA,"Dorf","Dorf","Dorf","ZH","ZH","ZH",NA,NA,NA
"21","Feuerthalen","Feuerthalen","Feuerthalen","ZH",NA,"Feuerthalen","Feuerthalen","Feuerthalen","ZH","ZH","ZH",NA,NA,NA
"22","Flaach","Flaach","Flaach","ZH",NA,"Flaach","Flaach","Flaach","ZH","ZH","ZH",NA,NA,NA
"23","Flurlingen","Flurlingen","Flurlingen","ZH",NA,"Flurlingen","Flurlingen","Flurlingen","ZH","ZH","ZH",NA,NA,NA
"24","Andelfingen","Andelfingen","Andelfingen","ZH",NA,"Andelfingen","Andelfingen","Andelfingen","ZH","ZH","ZH",NA,NA,NA
"25","Henggart","Henggart","Henggart","ZH",NA,"Henggart","Henggart","Henggart","ZH","ZH","ZH",NA,NA,NA
"26","Humlikon","Humlikon","Humlikon","ZH",NA,"Humlikon","Humlikon","Humlikon","ZH","ZH","ZH",NA,NA,NA
"27","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen","ZH",NA,"Kleinandelfingen","Kleinandelfingen","Kleinandelfingen","ZH","ZH","ZH",NA,NA,NA
"28","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen","ZH",NA,"Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen","ZH","ZH","ZH",NA,NA,NA
"29","Marthalen","Marthalen","Marthalen","ZH",NA,"Marthalen","Marthalen","Marthalen","ZH","ZH","ZH",NA,NA,NA
"30","Ossingen","Ossingen","Ossingen","ZH",NA,"Ossingen","Ossingen","Ossingen","ZH","ZH","ZH",NA,NA,NA
"31","Rheinau","Rheinau","Rheinau","ZH",NA,"Rheinau","Rheinau","Rheinau","ZH","ZH","ZH",NA,NA,NA
"32","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur","ZH",NA,"Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur","ZH","ZH","ZH",NA,NA,NA
"33","Trüllikon","Trüllikon","Trüllikon","ZH",NA,"Trüllikon","Trüllikon","Trüllikon","ZH","ZH","ZH",NA,NA,NA
"34","Truttikon","Truttikon","Truttikon","ZH",NA,"Truttikon","Truttikon","Truttikon","ZH","ZH","ZH",NA,NA,NA
"35","Volken","Volken","Volken","ZH",NA,"Volken","Volken","Volken","ZH","ZH","ZH",NA,NA,NA
"36","Bachenbülach","Bachenbülach","Bachenbülach","ZH",NA,"Bachenbülach","Bachenbülach","Bachenbülach","ZH","ZH","ZH",NA,NA,NA
"37","Bassersdorf","Bassersdorf","Bassersdorf","ZH",NA,"Bassersdorf","Bassersdorf","Bassersdorf","ZH","ZH","ZH",NA,NA,NA
"38","Bülach","Bülach","Bülach","ZH",NA,"Bülach","Bülach","Bülach","ZH","ZH","ZH",NA,NA,NA
"39","Dietlikon","Dietlikon","Dietlikon","ZH",NA,"Dietlikon","Dietlikon","Dietlikon","ZH","ZH","ZH",NA,NA,NA
"40","Eglisau","Eglisau","Eglisau","ZH",NA,"Eglisau","Eglisau","Eglisau","ZH","ZH","ZH",NA,NA,NA
"41","Embrach","Embrach","Embrach","ZH",NA,"Embrach","Embrach","Embrach","ZH","ZH","ZH",NA,NA,NA
"42","Freienstein-Teufen","Freienstein-Teufen","Freienstein-Teufen","ZH",NA,"Freienstein-Teufen","Freienstein-Teufen","Freienstein-Teufen","ZH","ZH","ZH",NA,NA,NA
"43","Glattfelden","Glattfelden","Glattfelden","ZH",NA,"Glattfelden","Glattfelden","Glattfelden","ZH","ZH","ZH",NA,NA,NA
"44","Hochfelden","Hochfelden","Hochfelden","ZH",NA,"Hochfelden","Hochfelden","Hochfelden","ZH","ZH","ZH",NA,NA,NA
"45","Höri","Höri","Höri","ZH",NA,"Höri","Höri","Höri","ZH","ZH","ZH",NA,NA,NA
"46","Hüntwangen","Hüntwangen","Hüntwangen","ZH",NA,"Hüntwangen","Hüntwangen","Hüntwangen","ZH","ZH","ZH",NA,NA,NA
"47","Kloten","Kloten","Kloten","ZH",NA,"Kloten","Kloten","Kloten","ZH","ZH","ZH",NA,NA,NA
"48","Lufingen","Lufingen","Lufingen","ZH",NA,"Lufingen","Lufingen","Lufingen","ZH","ZH","ZH",NA,NA,NA
"49","Nürensdorf","Nürensdorf","Nürensdorf","ZH",NA,"Nürensdorf","Nürensdorf","Nürensdorf","ZH","ZH","ZH",NA,NA,NA
"50","Oberembrach","Oberembrach","Oberembrach","ZH",NA,"Oberembrach","Oberembrach","Oberembrach","ZH","ZH","ZH",NA,NA,NA
